Obra,Codigo,Cliente,Local,Ativa,Latitude,Longitude,Raio_Validacao,DataInicio,DataFim,TipoObra,AssinaturaObrigatoria,Logo_b64,Tipo,Localizacao,Orcamento_ID,Alojamento,Viatura,Ferramentas,EPIs,Descricao_Trabalhos,Plataforma,Responsavel_Equipa
Basf,GN.2026.OBR.0001,BASF S.A,Tarragona,Inativa,38.7223,-9.1393,100,2026-03-10,2026-09-06,,,,,,,,,,,,,
Sonae Mangualde,GN.2026.OBR.0002,Sonae S.A,Mangualde,Inativa,38.7223,-9.1393,100,2026-03-10,2026-09-06,,Não,,,,,,,,,,,
Sines,GN.2026.OBR.0003,Sines S.A,Sines,Inativa,38.7223,-9.1393,100,2026-03-18,2026-09-14,Instrumentação,Não,,,,,,,,,,,
Luso Finsa,,Luso Finsa – Indústria e Comércio de Madeiras S.A.,Nelas,Inativa,,,,05/05/2026,,Manutenção,,,,,,,,,,,,
Greenvolt,,Greenvolt s.a,Mortagua,Inativa,,,,05/05/2026,,Normal,,,,,,,,,,,,
Escritório,0000,CPS,Seia,Ativa,,,,22/05/2026,31/12/2026,Normal,,,,,,Outro,CPS,CPS,CPS,,Não,
Repsol Tarragona,ES.OBCM.001,Repsol,Tarragona Espanha,Inativa,,,,05/06/2026,,Normal,,,,,,,,,,,,
Repsol Bilbao,ES.OBCM.002,Repsol,Bilbao,Inativa,,,,05/06/2026,,Normal,,,,,,,,,,,,
Lecraj - Prestação de serviços,ORC-285E7C42,Lecraj,,Inativa,,,,,,,,,Cedência MO,ENCE- Návia ,285E7C42,,,,,,,
Decofib - Cedência de Mão de Obra,ORC-462C7039,Decofib,,Ativa,,,,,,,,,Cedência MO,Castelo de Paiva,462C7039,,,,,,,
Geberit - Cedência de Mão de Obra,ORC-D0120DA1,Geberit Produções S.A,,Ativa,,,,,,,,,Cedência MO,Carregado,D0120DA1,,,,,,,
EFUELS - Cedência de mão de obra,ORC-1EC13B59,Tamoin SLU,,Ativa,,,,,,,,,Cedência MO,Bilbao,1EC13B59,,,,,,,
Matecnic - Cedência de Mão de Obra,ORC-ED803D83,Matecnic,,Ativa,,,,,,,,,Cedência MO,China,ED803D83,,,,,,,
CriticalFlow - Cedência de Mão de Obra,ORC-9691399B,CriticalFlow,,Ativa,,,,,,,,,Cedência MO,Tábua,9691399B,,,,,,,
Elmek Bilbao - Prestação de Serviços,ORC-B443F461,MEIVCORE EUSKADI SL,,Ativa,,,,,,,,,Normal,Bilbao,B443F461,,,,,,,
Luminus Cobra EDF,ORC-DC00BE88,Kayrós Ingenieria,,Ativa,,,,,,,,,Normal,"Liege, BE",DC00BE88,,,,,,,
HVO Galp - Prestação de Serviço,ORC-3DC55E2B,Tecnoprojecto Internacional - Projectos e Realizações Industriais S.A,,Ativa,,,,,,,,,Normal,Sines,3DC55E2B,,,,,,,
Lusofinsa - Cedência de mão de obra,ORC-22B573F3,Luso Finsa – Indústria e Comércio de Madeiras S.A.,,Ativa,,,,,,,,,Cedência MO,Nelas,22B573F3,,,,,,,
Hellas Gold Grécia - Prestação de Serviço,ORC-59DFAE78,Vertente Abrupta,,Ativa,,,,,,,,,Normal,Grécia,59DFAE78,,,,,,,
Gurit Turquia - Prestação de Serviços,ORC-625E4A1D,Gurit Poland SP,,Ativa,,,,,,,,,Normal,Turquia,625E4A1D,,,,,,,
CYMI Repsol - Prestação de serviço,ORC-7E62457B,"Control y Montajes Industriales Cymi, S.A.",,Ativa,,,,,,,,,Normal,Tarragona,7E62457B,,,,,,,
TCPI Paris - Prestação de serviço,ORC-F61594E8,TCPI France,,Ativa,,,,,,,,,Normal,Paris,F61594E8,,,,,,,
Atlantic Cooper - Prestação de serviço,ORC-3626B9E0,Kayrós Ingenieria,,Ativa,,,,,,,,,Normal,Huelva,3626B9E0,,,,,,,
